gt_or_status,dots,membranes,missed,rings,spurious,strands
dots,0,0,0,0,0,0
membranes,0,0,0,0,0,0
missed,0,0,0,0,0,0
rings,0,2,0,48,0,0
spurious,22,3,0,0,0,2
strands,0,0,341,0,0,198
