gt_or_status,dots,membranes,missed,rings,spurious,strands
dots,0,0,0,0,0,0
membranes,0,0,0,0,0,0
missed,0,0,0,0,0,0
rings,0,0,0,50,0,0
spurious,24,5,0,0,0,1
strands,0,3,343,0,0,196
